Unnamed: 0,Jacket,Upper,Lower,Shoes,TryOnImage,Style,Occasion,JacketName,JacketColor,JacketPattern,JacketSleeves,JacketCollar,JacketType,JacketType2,JacketShape,JacketMaterial,JacketFAB,UpperName,UpperColor,UpperPattern,UpperSleeves,UpperCollar,UpperType,UpperType2,UpperShape,UpperMaterial,UpperFAB,LowerName,LowerColor,LowerPattern,LowerSleeves,LowerCollar,LowerType,LowerType2,LowerShape,LowerMaterial,LowerFAB,ShoesName,ShoesColor,ShoesPattern,ShoesSleeves,ShoesCollar,ShoesType,ShoesType2,ShoesShape,ShoesMaterial,ShoesFAB
Outfit 13,RR1256182517,RR1256242716,RR1256410757,RR1256722530,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2013/upload_man_outfit13.jpg,精致休闲,周末早午餐,西服,淡灰,细密条纹,长袖,翻领西装,夹克,上装,修身版SlimFit,面料：46%棉 24%绵羊毛，16%粘纤 12%锦纶 2%山羊绒 ，针织片：100%绵羊毛，里料1：100%聚酯纤维，里料2：100%聚酯纤维,设计FAB：袖子为与面料配色的针织袖，袖子上织有不对称的立体撞色条，更有品牌辨识度。整件衣服克重轻盈，穿在身上轻便轻松，既保暖又无任何束缚感。面料FAB：羊毛羊绒高端成分，花灰色仿毛织圆机针织面料，组织蓬松手感柔软。工艺FAB：,短袖毛衫,黑色,全幅细密暗纹拼接,短袖,圆领,T恤,上装,舒适版RegularFit,主料：64.2%粘纤 21.3%绵羊毛， 14.5%聚酯纤维,"设计FAB：黑色圆领时尚又兼具质感的短袖毛衫，是当下生活方式的转变，更注重穿着舒适以及质感的追求的不二选择。通过多种针法肌理如挑孔、正针、反针等来呈现出凹凸多层次感的LOGO双R,以几何块状、线条感来呈现出符合现代审美的趋势和时尚。搭配简约干练的外轮廓线条，尽显挺括硬朗的时尚风范。面料FAB：材料是本季新升级的弹力羊毛材质，即有羊毛的舒适和质感，又有功能性的弹力，穿着起来更符合人体美学，不束缚，活动更自如。弹力羊毛优异与羊毛的挺括和收缩，搭配肌理工艺层次立体感更强。工艺FAB：通过挑孔、正反转提花等多种肌理工艺的层次叠加，通过特殊机型搭配弹力羊毛的优势突破性的将肌理提花实现了工艺和效果上的完美升级。下摆处以logo烫钻的形式更是增添了品牌特色属性以及奢华效果。",牛仔裤(水洗产品),浅牛仔蓝,微磨白渐褪牛仔,长裤,—,牛仔裤,下装,潮流版TrendyFit,面料：58.4%棉，41.6%再生纤维素纤维,面料FAB：“会呼吸”的天丝莱赛尔牛仔面料，为了让牛仔体感更舒适，我们在面料中加入优质天丝，面料干爽，上身垂顺不易皱，具有独特触感，具有良好透气透湿的性能。工艺FAB：独到的牛仔洗水模拟，通过手工的多层次塑造，整体在以往的牛仔洗水风格上设计FAB：阔腿版型，对身材包容度高，挺阔有型、遮肉显瘦、超好搭配。,休闲鞋,黑白拼色,立体拼接 + 压纹字母,—,—,鞋,鞋履,,牛皮革+织物,设计FAB：延续经典的Rich Max系列鞋型，结合现代与复古设计元素，呈现出时尚且具辨识度的风格。新配色和新材质的搭配，不仅增添了鞋款的视觉层次感，还带来独特的魅力。经典的黑白配色搭配Monogram元素的压花细节，使鞋子既保留经典气质，又充满现代感，成为百搭且引人注目的单品。鞋材FAB：鞋面采用高品质白色粒面皮革与黑色荔枝纹牛皮革拼接，展现出层次丰富的质感。内里采用透气的白色网布，确保舒适感与良好的透气性。鞋垫为白色牛皮革，增添了鞋款的品质感和舒适度。鞋底结合TPR中底与品牌橡胶大底，TPR中底提供轻盈与弹性，橡胶大底则增强耐磨性与防滑性能，确保舒适与耐用并存。工艺FAB：鞋面部分通过精致的压花工艺融入Monogram元素，提升了鞋款的奢华感与品牌辨识度。压花工艺的细腻表现，不仅强化了视觉效果，也彰显了鞋款的高端质感。整体工艺处理精细，确保每一细节都完美呈现，使得这款运动鞋兼具时尚、舒适与耐用的完美平衡。
Outfit 20,,RR1256242716,RR0000000008,RR1256711526,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2020/upload_man_outfit20.jpg,精致休闲,"约会夜晚, 鸡尾酒活动, 派对活动",,,,,,,,,,,短袖毛衫,黑色,全幅细密暗纹拼接,短袖,圆领,T恤,上装,舒适版RegularFit,主料：64.2%粘纤 21.3%绵羊毛， 14.5%聚酯纤维,"设计FAB：黑色圆领时尚又兼具质感的短袖毛衫，是当下生活方式的转变，更注重穿着舒适以及质感的追求的不二选择。通过多种针法肌理如挑孔、正针、反针等来呈现出凹凸多层次感的LOGO双R,以几何块状、线条感来呈现出符合现代审美的趋势和时尚。搭配简约干练的外轮廓线条，尽显挺括硬朗的时尚风范。面料FAB：材料是本季新升级的弹力羊毛材质，即有羊毛的舒适和质感，又有功能性的弹力，穿着起来更符合人体美学，不束缚，活动更自如。弹力羊毛优异与羊毛的挺括和收缩，搭配肌理工艺层次立体感更强。工艺FAB：通过挑孔、正反转提花等多种肌理工艺的层次叠加，通过特殊机型搭配弹力羊毛的优势突破性的将肌理提花实现了工艺和效果上的完美升级。下摆处以logo烫钻的形式更是增添了品牌特色属性以及奢华效果。",西裤,暗夜黑,竖条纹,—,—,夹克,上装,,,,皮鞋,亮黑,纯色漆皮光泽 + 金属装饰,—,—,鞋,鞋履,,牛皮革,设计FAB：乐福鞋采用黑色开边珠牛皮革，质感细腻且富有光泽，展现低调奢华的风格。带袢处金色装饰标增添精致感，同时优化视觉层次，使整体造型更具辨识度。杏仁头鞋楦修饰脚型，拉长腿部比例，营造挺拔利落的绅士风范。鞋材FAB：鞋底选用意大利XL EXTRALIGHT？品牌鞋底，采用EVA发泡材质，兼具轻盈性与回弹力，有效缓冲步行时的冲击，减少足部疲劳。内里采用黑色牛皮革，柔韧透气，增强穿着舒适度，同时提升鞋款的整体耐用性。工艺FAB：黑色开边珠牛皮革经过多道精细打磨工艺处理，确保皮革光泽自然且耐用。金色装饰标采用高精度金属工艺，质感细腻，细节考究。EVA发泡鞋底通过一体成型工艺制造，既保证轻量化，又增强耐磨性与抓地力，使步履更加稳定流畅。
Outfit 21,RR1256120550,RR1256210610A,RR0000000010,RR1256722514,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2021/upload_man_outfit21.jpg,精致休闲,"约会夜晚, 鸡尾酒活动, 派对活动",皮衣,冷灰色,低调压花几何纹,长袖,翻领,,上装,宽松版LooseFit,材质：，皮料：绵羊皮革，里料1：52%聚酯纤维 48%粘纤 ，里料2： 52.3%聚酯纤维， 47.7%粘纤,设计FAB：皮料采用皇冠级小绵羊皮，满版logo手工立体压印皮革工艺，制作难度高费时费力，整件皮衣肌理凹凸有致，不对称设计，修身时尚，穿着有辨识度。皮衣在穿着后，压纹会有略微深浅属正常现象，由于手工压制，每件衣服间也略有不同。小绵羊皮避免油污和剧烈摩擦，不穿时请挂起通风。,短袖T恤,白色,肩口与下摆同色压花钥匙图案,短袖,圆领,T恤,上装,舒适版RegularFit,面料：36.4%莫代尔， 25.7%粘纤，21.7%聚酯纤维 ，10.8%腈纶， 5.4%氨纶,设计FAB：采用了新的上下工艺呼应的新颖排布方式，低调又灵动面料FAB：云柔双面空气棉，软软糯糯的呼吸感，云朵般的舒适，面料正反一致，上身轻盈，细腻丝滑，具有轻、软、挺的特质工艺FAB：经典品质绣花款T恤，采用主题钥匙图案，绣花工艺与亮片与烫钻叠加，凸显价值感，采用了新的上下工艺呼应的排布方式，低调又灵动,西裤,雾感灰,竖向细条纹,—,—,夹克,上装,,,,休闲鞋,白色,拼接材质 + 压纹字母,—,—,鞋,鞋履,,牛皮革+织物,设计FAB：延续经典运动风格，25秋冬系列创新设计。相较于前代款式，此款鞋楦的廓形略大，旨在提升舒适感的同时赋予鞋款更加现代的时尚感。鞋身采用轻量化优化设计，内里填充高密度空气棉，提供极致的舒适性与包裹感，适合长时间穿着。整体设计通过复古风格拼接与现代工艺的结合，呈现出低调奢华的视觉效果，兼具功能性与时尚感，白色系配色百搭性强，能轻松与各种风格的服饰搭配，满足多种场合需求。鞋材FAB：鞋面采用高品质头层牛皮革，质感上乘，展现出经典与现代兼备的风格。鞋底部分采用了双色橡胶与超轻发泡材质的组合，带来更好的耐磨性与支撑性，同时也确保了鞋子的轻盈性。多层次的颜色设计不仅增加了时尚感，也增强了鞋款的层次感。内里则采用舒适的空气棉填充，提供额外的舒适性，适合长时间穿着。工艺FAB：在工艺方面，鞋面细节通过边鼓工艺和立体结构设计，打破传统鞋面设计的平面效果，创造出丰富的视觉层次感。内外侧织唛标通过乱针绣工艺和立体绣工艺精心制作，采用金属线、闪光线与涤纶线的结合，辅以2mm银色珠片点缀，提升整体的奢华感与细节层次。每一处细节都彰显了品牌对工艺的精准把控，不仅增强了鞋款的美学价值，也进一步提高了其耐用性与舒适性。
Outfit 23,,RR1256230630,RR1256430757,RR1256722514,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2023/upload_man_outfit23.jpg,日常休闲,"日常休闲, 周末早午餐, 旅行",,,,,,,,,,,卫衣,浅紫,立体徽章压纹（钥匙、狮子、字母等）,长袖,圆领,T恤,上装,宽松版LooseFit,面料：83.2%棉，11%聚酯纤维，5.8%氨纶,设计FAB：将品牌经典元素提炼出精简的几何线条，结合季度主题的钥匙剪影图案，在身体上灵活排布，轻松有趣，简洁百搭面料FAB：大胆紫色吸睛尝试，软糯空气棉，手感细腻 ，如云朵般柔软，亲肤上身无压感，成衣蓬松抗皱，易打理，两面皆可用，轻松打造高级松弛感工艺FAB：新形式的工艺尝试，绣花结合海绵填充工艺，使图案更加立体，手感柔软Q弹温暖,针织裤,白色,纯色无图案,长裤（直筒休闲裤）,松紧抽绳,长裤,下装,舒适版RegularFit,面料：29.6%棉  29.1%锦纶 ，19.3%聚酯纤维  17.9%莫代尔 ，4.1%氨纶,面料FAB：棉混纺成分面料。棉是一种天然纤维，具有良好的柔软性和亲肤性，吸湿排汗，穿着非常舒适。布面是极细的精致提花，图案采用经典logoRARE进行变化重组，满版图案但隐约一体。视觉效果干净但有内容。设计FAB：斜插袋款直出针织裤。松紧腰头满足男士穿着需求，易于穿脱，松紧抽绳便于固定。直出版精雕细琢，修饰身型，落落得体。白色经典常青色，易搭配，适合春夏踏青等户外休闲运动。,休闲鞋,白色,拼接材质 + 压纹字母,—,—,鞋,鞋履,,牛皮革+织物,设计FAB：延续经典运动风格，25秋冬系列创新设计。相较于前代款式，此款鞋楦的廓形略大，旨在提升舒适感的同时赋予鞋款更加现代的时尚感。鞋身采用轻量化优化设计，内里填充高密度空气棉，提供极致的舒适性与包裹感，适合长时间穿着。整体设计通过复古风格拼接与现代工艺的结合，呈现出低调奢华的视觉效果，兼具功能性与时尚感，白色系配色百搭性强，能轻松与各种风格的服饰搭配，满足多种场合需求。鞋材FAB：鞋面采用高品质头层牛皮革，质感上乘，展现出经典与现代兼备的风格。鞋底部分采用了双色橡胶与超轻发泡材质的组合，带来更好的耐磨性与支撑性，同时也确保了鞋子的轻盈性。多层次的颜色设计不仅增加了时尚感，也增强了鞋款的层次感。内里则采用舒适的空气棉填充，提供额外的舒适性，适合长时间穿着。工艺FAB：在工艺方面，鞋面细节通过边鼓工艺和立体结构设计，打破传统鞋面设计的平面效果，创造出丰富的视觉层次感。内外侧织唛标通过乱针绣工艺和立体绣工艺精心制作，采用金属线、闪光线与涤纶线的结合，辅以2mm银色珠片点缀，提升整体的奢华感与细节层次。每一处细节都彰显了品牌对工艺的精准把控，不仅增强了鞋款的美学价值，也进一步提高了其耐用性与舒适性。
Outfit 24,,RR1256220624B,RR1256420502,RR1256722501,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2024/upload_man_outfit24.jpg,日常休闲,"日常休闲, 周末早午餐, 旅行",,,,,,,,,,,长袖T恤,浅蓝,胸口与袖口同色低调印花,长袖,半高领,T恤,上装,修身版SlimFit,面料：51%腈纶 ，41%莫代尔纤维  8%氨纶,面料FAB：进口rich warmth蓄热磨毛面料，保暖透气，锁住体温，创新膨体纤维，手感蓬松，质地柔软纤细的特殊起毛工艺，杜绝不均，绒面更自然，出色的抗起球性，可机洗设计FAB：吸睛的冬日热烈橙色，保暖不臃肿，单穿搭配牛仔，简单利落，马甲夹克叠穿，增加层次感。柔软亲肤的特性也同时适合居家穿着，适应多种气温变化的穿着场合工艺FAB：顺色IP形象植绒，手感柔软舒适有微弹，贴合面料，没有异物感,休闲裤,深夜蓝,局部异材质拼接（侧片压花）,长裤（束脚）,松紧抽绳,长裤,下装,宽松版LooseFit,面料：49%粘纤 ，45%聚酯纤维 6%氨纶，配料：100%锦纶,工艺FAB：超薄空气层针织面料，手感爽滑，在后机头侧缝处拼接梭织面料，双层做法使休闲裤更显品质感。面料FAB：梭织部分采用圣彼得钥匙大提花排列的抗皱提花面料，拼接超轻薄空气层针织面料，手感非常爽滑，无龄感的版型结合弹力面料更为实穿设计FAB：袋口绣花标采用辫子针铺底，牙刷绣与包针的结合，有光线与无光线的结合凸显趣味性。,休闲鞋,深蓝 + 白色,经典拼色 + 字母徽标,—,—,鞋,鞋履,,牛皮革+织物,设计FAB：延续经典楦型，以牛仔蓝色的粒面牛皮革为主材，独特的色调与质感，可搭配同色系服饰，展现出低调而富有品味的时尚态度。鞋面点缀了花卉与品牌LOGO的艺术图案，精致的设计语言融合现代工艺，使整体造型更具辨识度。鞋材FAB：鞋底采用品牌定向研发的高性能橡胶材质，底花设计以双R交织而成，既提供卓越的防滑耐磨性能，又增添独特的品牌印记。中底内置PU缓震垫，为步伐提供有力的回弹支撑，兼具缓冲与减震功能，提升长时间穿着的舒适性。鞋舌与鞋口填充12mm空气棉，有效贴合脚型，带来柔软包裹感。内里采用轻盈透气的白色网布，增强透气性，避免闷热感，使步履更为轻松自在。鞋带选用耐磨的混纺材质，经过特殊工艺处理，不易松脱，确保稳固贴合。工艺FAB：独具匠心的五种针法交替运用，使鞋面细节更具层次感。幻彩线的加入，使鞋款在不同光线角度下折射出丰富的色彩变化，展现微妙的光影效果。品牌LOGO采用纯手工缝制的米珠工艺，每颗米珠紧密排列，并搭配银色珠片绣，增强视觉立体感，同时提升鞋款的精致度与价值感。
Outfit 25,RR1256181504,RR1256242716,RR1256410707,RR0000000018,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2025/upload_man_outfit25.jpg,精致休闲,"约会夜晚, 鸡尾酒活动, 派对活动",西服,浅灰,细密人字纹,长袖,翻领西装,夹克,上装,修身版SlimFit,面料：30%绵羊毛 25%锦纶 24%棉 ，21%羊驼毛，里料1：52%聚酯纤维 48%粘纤 ，里料2：100%铜氨纤维,设计FAB：大戗驳领带来的复古时髦感，纯手工插花眼，眼头装点红色，与内里的红色开袋布相呼应，驳领和前片点缀纯手工的贡针，戗驳领上贡针为平驳领造型，高级而有设计感。面料FAB：意大利百年毛纺厂Ferla出品，顶奢品牌的选择。面料浅花灰人字纹提花毛料，珍贵的小羊驼毛和羊毛混纺，混色效果细腻，腔调十足。,短袖毛衫,黑色,全幅细密暗纹拼接,短袖,圆领,T恤,上装,舒适版RegularFit,主料：64.2%粘纤 21.3%绵羊毛， 14.5%聚酯纤维,"设计FAB：黑色圆领时尚又兼具质感的短袖毛衫，是当下生活方式的转变，更注重穿着舒适以及质感的追求的不二选择。通过多种针法肌理如挑孔、正针、反针等来呈现出凹凸多层次感的LOGO双R,以几何块状、线条感来呈现出符合现代审美的趋势和时尚。搭配简约干练的外轮廓线条，尽显挺括硬朗的时尚风范。面料FAB：材料是本季新升级的弹力羊毛材质，即有羊毛的舒适和质感，又有功能性的弹力，穿着起来更符合人体美学，不束缚，活动更自如。弹力羊毛优异与羊毛的挺括和收缩，搭配肌理工艺层次立体感更强。工艺FAB：通过挑孔、正反转提花等多种肌理工艺的层次叠加，通过特殊机型搭配弹力羊毛的优势突破性的将肌理提花实现了工艺和效果上的完美升级。下摆处以logo烫钻的形式更是增添了品牌特色属性以及奢华效果。",牛仔裤(水洗产品),炭黑,微磨白渐褪牛仔,长裤,—,牛仔裤,下装,舒适版RegularFit,面料：70.3%棉，20.4%聚酯纤维，8.7%粘纤，0.6%氨纶,面料FAB：采用了长绒棉纱线，织布出来纱织清晰有骨感，且面料染料较为细腻能呈现出丰富的布边变化，结合特殊的长绒棉本身具有的自然形成的不均匀感，在穿着的过程中会逐渐形成复古的外观，且手感也会越发的舒适。工艺FAB：运用了复古的喷色工艺，创作出较为浓郁的基底，结合品牌擅长的多工艺组合，特色烫钻及串珠结合激光定位工艺。设计FAB：经典的修身牛仔版型，为品牌最为畅销的裤型。充分表达了新季度对圣彼得钥匙的主题传达。赋予美好的寓意。,休闲鞋,墨蓝渐变,轻微擦色+运动鞋孔装饰,—,—,鞋,鞋履,,,
Outfit 28,,RR1256230512,RR1256410810,RR1256722502,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2028/upload_man_outfit28.jpg,日常休闲,"日常休闲, 周末早午餐",,,,,,,,,,,卫衣,白色,胸口立体刺绣图案,长袖,圆领,T恤,上装,宽松版LooseFit,38%棉 34%莫代尔纤维， 21%聚酯纤维 7%氨纶,1、设计：罗纹点缀秋冬波段里的紫色，局部颜色做点缀，大身采用干净有质感的白色。2、工艺：精致米白顺色Leo形象绣花，米白色多种绣线和丝绒贴布绣结合，后续叠加纯手工缝制精致米珠绣花。3、面料：舒适空气棉面料。,牛仔裤(水洗产品),中牛仔蓝,数码像素拼接洗水,长裤,—,牛仔裤,下装,潮流版TrendyFit,面料：90.3%棉，8.7%聚酯纤维，1%氨纶,面料FAB：经典棉氨成分面料。棉是一种天然纤维，具有良好的柔软性和亲肤性，穿着非常舒适。其多孔结构允许空气流通，有助于吸湿排汗，保持穿着者的干爽舒适。氨纶的加入为牛仔布提供了额外的弹性，使得裤子或衣物可以更好地贴合身体曲线，提供更好的活动自由度并增加其耐磨性。设计FAB：创新款，结构上打破常规牛仔五袋款是制式，偏移的口袋以及休闲感的牛仔插袋搭配工装袋襻儿增添时尚感。工艺FAB：局部马赛克运用多重工艺：激光，印花和绣花去展示主题图案。精致切割logo更显品质潮流。,休闲鞋,香槟金 + 白色,全幅亮钻镶嵌,—,—,鞋,鞋履,,牛皮革,设计FAB：延续25春夏全新鞋型，以现代奢华风格为核心设计理念，结合璀璨水晶烫钻与品牌经典元素，打造极具辨识度的高端鞋款。整体配色低调而不失华丽，巧妙平衡奢华感与优雅气质，使穿着者在任何场合都能散发自信光彩。鞋面运用同色系两种色调的水晶烫钻，搭配头层磨砂牛皮革，精心拼接组合而成，采用品牌标志性的老花图案，使鞋款在光影变化中呈现丰富层次，进一步强化品牌识别度。鞋材FAB：鞋底采用意大利XL EXTRALIGHT？品牌鞋底，精选EVA材质，以轻量化设计提供出色的舒适体验。EVA材质兼具柔软度与韧性，使行走间拥有良好的缓冲效果，同时减轻足部负担，提升穿着体验。鞋型结构经过精准调整，结合人体工学设计，确保长时间穿着依然轻盈灵活，既满足日常出行需求，又适配不同风格的高端穿搭。内里采用白色抗菌除臭网布，透气性好，更加轻盈柔软，有着抗菌除臭的功能特性。工艺FAB：整双鞋共镶嵌12000+颗水晶烫钻，采用六款不同的水晶烫钻，有三种大小不一的尺寸，以精湛工艺呈现精致的视觉层次感。水晶烫钻的排列方式经过严格计算，在光照下折射出流动般的璀璨光泽，彰显非凡质感。品牌老花图案由水晶烫钻拼接而成，每一颗水晶烫钻均经过专业的定位与镶嵌，确保稳固性与耐久度，使鞋款不仅在外观上独树一帜，更在细节中流露匠心工艺。
Outfit 29,RR1256182517,RR1256210610B,RR1256410760,RR1256722514,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2029/upload_man_outfit29.jpg,精致休闲,"约会夜晚, 鸡尾酒活动, 派对活动",西服,淡灰,细密条纹,长袖,翻领西装,夹克,上装,修身版SlimFit,面料：46%棉 24%绵羊毛，16%粘纤 12%锦纶 2%山羊绒 ，针织片：100%绵羊毛，里料1：100%聚酯纤维，里料2：100%聚酯纤维,设计FAB：袖子为与面料配色的针织袖，袖子上织有不对称的立体撞色条，更有品牌辨识度。整件衣服克重轻盈，穿在身上轻便轻松，既保暖又无任何束缚感。面料FAB：羊毛羊绒高端成分，花灰色仿毛织圆机针织面料，组织蓬松手感柔软。工艺FAB：,短袖T恤,黑色,肩口与下摆同色压花钥匙图案,短袖,圆领,T恤,上装,舒适版RegularFit,面料：36.4%莫代尔，25.7%粘纤，21.7%聚酯纤维 ，10.8%腈纶，5.4%氨纶,设计FAB：采用了新的上下工艺呼应的新颖排布方式，低调又灵动面料FAB：云柔双面空气棉，软软糯糯的呼吸感，云朵般的舒适，面料正反一致，上身轻盈，细腻丝滑，具有轻，软，挺的特质工艺FAB：经典品质绣花款，采用主题钥匙图案，绣花工艺与亮片与烫钻叠加，凸显价值感,牛仔裤(水洗产品),白色,纯色无纹理,长裤,—,牛仔裤,下装,舒适版RegularFit,面料：99.4%棉，0.6%氨纶,面料FAB：采用高端白色赤耳单宁布，赤耳丹宁昂贵原因之一是因为传统的古老的有梭织机产量很低，织机的车速一般是每分钟一百多转。而高速织机都是每分钟超过五百转以上，车速不同，打纬的力度便不同，高速织机打的非常快，对纱线纤维的损伤非常大，老式织机车速慢，对纱线纤维损伤很小，于是织出来的面料便会明显的不同，低速机的布面颗粒感强，手感丰满。工艺FAB：口袋及脚口翻边可以看见赤耳细节，相对于传统的拷边，这种自带的锁边细节，就是对产品极致美观的追求，且浑然一体的工艺，平整细致。设计FAB：版型采用了偏直筒的舒适版型，整体较为利落，兼顾休闲的同时能够搭配些轻商务的便西。,休闲鞋,白色,拼接材质 + 压纹字母,—,—,鞋,鞋履,,牛皮革+织物,设计FAB：延续经典运动风格，25秋冬系列创新设计。相较于前代款式，此款鞋楦的廓形略大，旨在提升舒适感的同时赋予鞋款更加现代的时尚感。鞋身采用轻量化优化设计，内里填充高密度空气棉，提供极致的舒适性与包裹感，适合长时间穿着。整体设计通过复古风格拼接与现代工艺的结合，呈现出低调奢华的视觉效果，兼具功能性与时尚感，白色系配色百搭性强，能轻松与各种风格的服饰搭配，满足多种场合需求。鞋材FAB：鞋面采用高品质头层牛皮革，质感上乘，展现出经典与现代兼备的风格。鞋底部分采用了双色橡胶与超轻发泡材质的组合，带来更好的耐磨性与支撑性，同时也确保了鞋子的轻盈性。多层次的颜色设计不仅增加了时尚感，也增强了鞋款的层次感。内里则采用舒适的空气棉填充，提供额外的舒适性，适合长时间穿着。工艺FAB：在工艺方面，鞋面细节通过边鼓工艺和立体结构设计，打破传统鞋面设计的平面效果，创造出丰富的视觉层次感。内外侧织唛标通过乱针绣工艺和立体绣工艺精心制作，采用金属线、闪光线与涤纶线的结合，辅以2mm银色珠片点缀，提升整体的奢华感与细节层次。每一处细节都彰显了品牌对工艺的精准把控，不仅增强了鞋款的美学价值，也进一步提高了其耐用性与舒适性。
Outfit 30,,RR1256261507,RR1256410760,RR0000000014,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2030/upload_man_outfit30.jpg,精致休闲,"约会夜晚, 鸡尾酒活动, 派对活动",,,,,,,,,,,长袖衬衫,黑底多色,全幅复古钥匙印花,长袖,翻领衬衫,衬衫,上装,舒适版RegularFit,95%棉 5%氨纶,设计FAB：黑色布底上，金色与银色钥匙交相印花，象征财富与权势的美好寓意，印花效果细腻，充满艺术感。修身版型商务潮流，修饰提气面料FAB：棉弹印花面料，布面光洁，弹力丰富，穿着舒适。,牛仔裤(水洗产品),白色,纯色无纹理,长裤,—,牛仔裤,下装,舒适版RegularFit,面料：99.4%棉，0.6%氨纶,面料FAB：采用高端白色赤耳单宁布，赤耳丹宁昂贵原因之一是因为传统的古老的有梭织机产量很低，织机的车速一般是每分钟一百多转。而高速织机都是每分钟超过五百转以上，车速不同，打纬的力度便不同，高速织机打的非常快，对纱线纤维的损伤非常大，老式织机车速慢，对纱线纤维损伤很小，于是织出来的面料便会明显的不同，低速机的布面颗粒感强，手感丰满。工艺FAB：口袋及脚口翻边可以看见赤耳细节，相对于传统的拷边，这种自带的锁边细节，就是对产品极致美观的追求，且浑然一体的工艺，平整细致。设计FAB：版型采用了偏直筒的舒适版型，整体较为利落，兼顾休闲的同时能够搭配些轻商务的便西。,皮鞋,黑色,细纹牛皮+金属字母装饰,—,—,鞋,鞋履,,,
Outfit 32,RR1256160516,RR1256242716,RR0000000002,RR1256722511,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/man/Outfit%2032/upload_man_outfit32.jpg,精致休闲,"约会夜晚, 鸡尾酒活动, 派对活动",夹克,黑色亮片,全幅亮片闪面,长袖,翻领,夹克,上装,舒适版RegularFit,面料：面层底布:95%聚酯纤维 5%氨纶 含胶 装饰除外，面层连接线:100%聚酯纤维 装饰除外，底层:82%粘纤 18%锦纶 含胶，里料1：100%聚酯纤维  含聚酯/聚酯复合纤维，里料2：100%聚酯纤维,设计FAB：翻领满身绣钻片夹克，整身不对称斜裁，凸显趣味性。面料FAB：采用精选华丽立体钻片绣面料，将钻片绣在面料里层，触摸手感舒适不易变形。工艺FAB：前胸切面珠飞狮重工工艺标，凸显精致。,短袖毛衫,黑色,全幅细密暗纹拼接,短袖,圆领,T恤,上装,舒适版RegularFit,主料：64.2%粘纤 21.3%绵羊毛， 14.5%聚酯纤维,"设计FAB：黑色圆领时尚又兼具质感的短袖毛衫，是当下生活方式的转变，更注重穿着舒适以及质感的追求的不二选择。通过多种针法肌理如挑孔、正针、反针等来呈现出凹凸多层次感的LOGO双R,以几何块状、线条感来呈现出符合现代审美的趋势和时尚。搭配简约干练的外轮廓线条，尽显挺括硬朗的时尚风范。面料FAB：材料是本季新升级的弹力羊毛材质，即有羊毛的舒适和质感，又有功能性的弹力，穿着起来更符合人体美学，不束缚，活动更自如。弹力羊毛优异与羊毛的挺括和收缩，搭配肌理工艺层次立体感更强。工艺FAB：通过挑孔、正反转提花等多种肌理工艺的层次叠加，通过特殊机型搭配弹力羊毛的优势突破性的将肌理提花实现了工艺和效果上的完美升级。下摆处以logo烫钻的形式更是增添了品牌特色属性以及奢华效果。",西裤,经典黑,纯色无纹理,—,—,夹克,上装,,,,休闲鞋,灰白 + 黑色,拼色 + 字母徽标,—,—,鞋,鞋履,,牛皮革+织物,设计FAB：延续Rich系列经典鞋型，这款鞋子在本季升级为中帮造型，适应秋冬季节的需求，既具备保暖性，又充满现代感。精致的灰色系搭配，提升整体的优雅气质，低调的奢华感尽显。鞋款将传统工艺与运动元素结合，不仅具备出色的功能性，还突显独特的时尚气息，满足精致且追求个性化的消费者需求。鞋材FAB：鞋面主料选用头层磨砂牛皮革，五种材质的拼接，灰色调搭配沉稳典雅，呈现出质感十足的视觉效果。内里使用白色网布，增强透气性与舒适感，确保长时间穿着的舒适性。鞋底采用经典的双R橡胶大底与PU中底组合，带来良好的缓震效果和耐磨性，适合各种场合穿着。工艺FAB：鞋面特别的工艺片采用珠片绣、立体绣与米珠绣的精湛工艺组合，层次丰富且充满匠心，细致的刺绣和珠饰展示了高端工艺的独特魅力。每一处缝制都体现出品牌对工艺的严格要求。整体设计在时尚感与功能性之间找到了完美的平衡，细节精致，品质感十足。
